Tag_A,Attr_A_Name,Attr_A_Value,Relationship,Rel_Att_Name_1,Rel_Att_Value_1,Rel_Att_Name_2,Rel_Att_Value_2,Tag_B,Attr_B_Name,Attr_B_Value
IHO_Sea_Area,Name,The Coastal Waters of Southeast Alaska and British Columbia,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Gulf of California,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Strait,Name,Bering Strait,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Strait,Name,Korea Strait,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Strait,Name,Luzon Strait,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Rio de La Plata,Part_of,,,,,IHO_Sea_Area,Name,South Atlantic Ocean
IHO_Sea_Area,Name,Rio de La Plata,Adjacent_to,,,,,Nation,Name,Argentina
IHO_Sea_Area,Name,Rio de La Plata,Adjacent_to,,,,,Nation,Name,Uruguay
Sea,Name,Drake Passage,Part_of,,,,,IHO_Sea_Area,Name,South Atlantic Ocean
Sea,Name,Scotia Sea,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
General_Sea_Area,Name,South China and Eastern Archipelagic Seas,Part_of,,,,,Ocean,Name,Pacific Ocean
IHO_Sea_Area,Name,South China Sea,Part_of,,,,,Ocean,Name,Pacific Ocean
IHO_Sea_Area,Name,Gulf of Thailand,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Sea,Name,Natuna Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Singapore Strait,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Strait,Name,Sunda Strait,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Java Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Makassar Strait,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Bali Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Flores Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Strait,Name,Sumba Strait,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Savu Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Timor Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Arafura Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Sea,Name,Aru Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Banda Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Banda Sea,Part_of,,,,,Nation,Name,Indonesia
IHO_Sea_Area,Name,Gulf of Boni,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Ceram Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Halmahera Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Molukka Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Gulf of Tomini,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Sea,Name,Sulawesi Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Sea,Name,Bohol Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Sulu Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Celebes Sea,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
IHO_Sea_Area,Name,Bismarck Sea,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
IHO_Sea_Area,Name,Bismarck Sea,Adjacent_to,,,,,IHO_Sea_Area,Name,Solomon Sea
IHO_Sea_Area,Name,Solomon Sea,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
Strait,Name,Torres Strait,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
General_Sea_Area,Name,Coastal Waters of Great Barrier Reefs,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
IHO_Sea_Area,Name,Coral Sea,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
IHO_Sea_Area,Name,Tasman Sea,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
IHO_Sea_Area,Name,Bass Strait,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
Sea,Name,Amundsen Sea,Part_of,,,,,IHO_Sea_Area,Name,Southern Ocean
Sea,Name,Bellingshausen Sea,Part_of,,,,,IHO_Sea_Area,Name,Southern Ocean
Strait,Name,Cook Strait,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
Sea,Name,Ross Sea,Part_of,,,,,IHO_Sea_Area,Name,Southern Ocean
Sea,Name,Baltic Proper,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,Vainameri,Part_of,,,,,IHO_Sea_Area,Name,Gulf of Riga
Seachannel,Name,Laurentian Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Seachannel,Name,Whittard Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Seachannel,Name,Brest Seachannel,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
Seachannel,Name,Crozon Seachannel,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
Seachannel,Name,Celtique Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Seachannel,Name,Storneset Seachannel,Part_of,,,,,IHO_Sea_Area,Name,Norwegian Sea
Sea,Name,Lybian Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Eastern Basin
Sea,Name,Levantine Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Eastern Basin
Sea,Name,Moroccan Reef,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Seachannel,Name,Storfjord Seachannel,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Seachannel,Name,Northwest Atlantic-Mid Oc Channel,Part_of,,,,,IHO_Sea_Area,Name,Labrador Sea
Seachannel,Name,Northwest Atlantic-Mid Oc Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Strait,Name,Menai Strait,Part_of,,,,,IHO_Sea_Area,Name,Irish Sea and St. George's Channel
Strait,Name,Forlandsundet,Part_of,,,,,IHO_Sea_Area,Name,Greenland Sea
Strait,Name,Hinlopenstretet,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Strait,Name,Ginevrabotnen,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Strait,Name,Freemansundet,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Strait,Name,Olgastretet,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Strait,Name,Erik Eriksenstretet,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Strait,Name,Rivalensundet,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
Sea,Name,Pechora Sea,Part_of,,,,,IHO_Sea_Area,Name,Barentsz Sea
General_Sea_Area,Name,North East Atlantic,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Northwestern Passages,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
Seachannel,Name,Scott Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Cascadia Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Baker Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Equatorial Seachannel,Part_of,,,,,IHO_Sea_Area,Name,South Atlantic Ocean
